School,Conference,Sport,State,GSR,FGR,GSR Report,FGR Report
Cincinnati,American Athletic Conference,Football,OH,65,57,,
Connecticut,American Athletic Conference,Football,CT,65,54,,
Louisville,American Athletic Conference,Football,KY,66,49,,
Pittsburgh,American Athletic Conference,Football,PA,68,55,,
Rutgers,American Athletic Conference,Football,NJ,85,66,,
South Florida,American Athletic Conference,Football,FL,57,39,,
Syracuse,American Athletic Conference,Football,NY,77,64,,
Temple University,American Athletic Conference,Football,PA,79,60,,
Boston College,Atlantic Coast Conference,Football,MA,94,86,,
Clemson,Atlantic Coast Conference,Football,SC,77,59,,
Duke,Atlantic Coast Conference,Football,NC,90,81,,
Florida State,Atlantic Coast Conference,Football,FL,58,47,,
Georgia Tech,Atlantic Coast Conference,Football,GA,63,53,,
Maryland,Atlantic Coast Conference,Football,MD,73,63,,
Miami (Fla.),Atlantic Coast Conference,Football,FL,86,69,,
North Carolina,Atlantic Coast Conference,Football,NC,65,52,,
North Carolina State,Atlantic Coast Conference,Football,NC,64,57,,
Virginia Tech,Atlantic Coast Conference,Football,VA,78,62,,
Virginia,Atlantic Coast Conference,Football,VA,74,69,,
Wake Forest,Atlantic Coast Conference,Football,NC,86,77,,
Baylor,Big 12 Conference,Football,TX,67,48,,
Iowa State,Big 12 Conference,Football,IA,60,48,,
Kansas State,Big 12 Conference,Football,KS,59,53,,
Kansas,Big 12 Conference,Football,KS,69,53,,
Oklahoma State,Big 12 Conference,Football,OK,56,45,,
Oklahoma,Big 12 Conference,Football,OK,51,43,,
Texas Christian,Big 12 Conference,Football,TX,85,80,,
Texas Tech,Big 12 Conference,Football,TX,72,56,,
Texas,Big 12 Conference,Football,TX,56,57,,
West Virginia,Big 12 Conference,Football,WV,80,61,,
California Polytechnic State University,Big Sky Conference,Football,CA,82,77,,
"California State University, Sacramento",Big Sky Conference,Football,CA,61,46,,
"University of California, Davis",Big Sky Conference,Football,CA,77,62,,
Eastern Washington University,Big Sky Conference,Football,WA,60,44,,
Idaho State University,Big Sky Conference,Football,ID,41,23,,
Montana State University-Bozeman,Big Sky Conference,Football,MT,63,40,,
University of Montana,Big Sky Conference,Football,MT,71,72,,
University of North Dakota,Big Sky Conference,Football,ND,71,65,,
Northern Arizona University,Big Sky Conference,Football,AZ,75,42,,
