,School,G_x,TDs_x,PAT,2PT_x,Def Pts,FG,Saf,Pts_x,PPG,G_y,TDs_y,Opp XP,2PT_y,Opp DXP,Opp FGM,Opp Saf,Pts_y,Avg
0,Air Force,13,58,52,1,1,13,0,443,34.1,13,34,27,0,0,9,0,258,19.8
1,Akron,12,15,13,1,0,7,0,126,10.5,12,56,55,1,0,14,0,435,36.3
2,Alabama,13,83,80,0,0,12,0,614,47.2,13,26,22,2,0,20,0,242,18.6
3,Appalachian State,14,73,72,0,0,11,0,543,38.8,14,35,29,1,0,13,0,280,20
4,Arizona,12,42,37,1,0,10,1,323,26.9,12,54,52,1,0,17,0,429,35.8
5,Arizona State,13,36,29,4,0,23,0,322,24.8,13,39,39,0,0,6,0,291,22.4
6,Arkansas,12,31,29,0,0,14,0,257,21.4,12,57,55,0,0,15,0,442,36.8
7,Arkansas State,13,54,53,0,0,19,2,438,33.7,13,56,46,3,0,18,1,444,34.2
8,Army,13,52,44,1,0,4,0,370,28.5,13,38,34,2,0,11,0,299,23
9,Auburn,13,54,52,1,0,18,0,432,33.2,13,32,29,0,0,11,0,254,19.5
10,Ball State,12,53,49,2,0,15,1,418,34.8,12,47,41,3,0,16,0,377,31.4
11,Baylor,14,61,57,0,0,16,0,471,33.6,14,32,28,0,0,19,0,277,19.8
12,Boise State,14,63,61,1,0,15,0,486,34.7,14,39,33,3,0,11,0,306,21.9
13,Boston College,13,49,45,1,0,12,0,377,29,13,49,49,0,0,25,0,418,32.2
14,Bowling Green,12,25,22,0,0,6,1,192,16,12,62,61,0,0,10,0,463,38.6
15,Buffalo,13,54,50,0,0,11,1,409,31.5,13,35,31,0,0,12,0,277,21.3
16,Brigham Young,13,46,43,0,0,17,0,370,28.5,13,40,36,2,0,17,0,331,25.5
17,California,13,35,33,0,0,11,0,276,21.2,13,32,29,1,1,20,0,285,21.9
18,Central Michigan,14,55,47,4,0,13,1,426,30.4,14,49,46,0,0,18,1,396,28.3
19,Charlotte,13,52,42,2,0,10,0,388,29.8,13,56,51,2,0,10,0,421,32.4
20,Cincinnati,14,52,51,1,1,16,0,415,29.6,14,34,28,1,0,18,0,288,20.6
21,Clemson,15,88,85,2,0,14,0,659,43.9,15,24,23,0,0,12,0,203,13.5
22,Coastal Carolina,12,46,35,4,0,15,0,364,30.3,12,50,48,0,0,6,0,366,30.5
23,Colorado,12,33,31,1,0,17,0,282,23.5,12,50,49,0,0,11,0,382,31.8
24,Colorado State,12,42,41,1,0,14,0,337,28.1,12,47,45,1,0,15,0,374,31.2
25,Duke,12,37,34,1,0,15,0,303,25.3,12,43,39,1,0,17,0,350,29.2
26,East Carolina,12,36,33,0,0,24,0,321,26.8,12,53,50,2,0,10,1,404,33.7
27,Eastern Michigan,13,49,35,4,0,14,0,379,29.2,13,52,45,3,0,11,1,398,30.6
28,Florida International,13,40,37,1,0,21,1,344,26.5,13,43,37,1,0,19,0,354,27.2
29,Florida Atlantic,14,65,56,4,1,18,0,510,36.4,14,41,34,3,0,10,1,318,22.7
30,Florida,13,55,51,0,0,17,0,432,33.2,13,23,22,1,0,13,0,201,15.5
31,Florida State,13,49,46,1,0,7,0,363,27.9,13,40,34,2,0,28,0,362,27.8
32,Fresno State,12,46,44,1,0,12,1,360,30,12,46,42,2,0,13,0,361,30.1
33,Georgia Southern,13,44,36,2,0,20,1,366,28.2,13,47,42,3,0,12,0,366,28.2
34,Georgia,14,50,46,2,0,27,0,431,30.8,14,20,20,0,0,12,0,176,12.6
35,Georgia State,13,53,50,1,0,12,0,406,31.2,13,62,53,2,0,14,0,471,36.2
36,Georgia Tech,12,27,23,2,0,3,1,200,16.7,12,49,47,0,0,16,0,389,32.4
37,Hawaii,15,68,64,2,0,10,1,508,33.9,15,61,59,1,0,17,0,478,31.9
38,Houston,12,44,40,2,0,20,0,368,30.7,12,54,52,0,0,10,1,408,34
